!  Here are the Tables from Shure paper

log T	log $\Lambda_N$	log  $\Lambda_{\rm hd}$	$n_{\rm e}/n_{\rm H}$
7.00	-22.4603	-22.3780	1.2086
7.04	-22.4830	-22.4007	1.2087
7.08	-22.5112	-22.4289	1.2087
7.12	-22.5449	-22.4625	1.2088
7.16	-22.5819	-22.4995	1.2088
7.20	-22.6177	-22.5353	1.2089
7.24	-22.6483	-22.5659	1.2089
7.28	-22.6719	-22.5895	1.2089
7.32	-22.6883	-22.6059	1.2089
7.36	-22.6985	-22.6161	1.2089
7.40	-22.7032	-22.6208	1.2090
7.44	-22.7037	-22.6213	1.2090
7.48	-22.7008	-22.6184	1.2090
7.52	-22.6950	-22.6126	1.2090
7.56	-22.6869	-22.6045	1.2090
7.60	-22.6769	-22.5945	1.2090
7.64	-22.6655	-22.5831	1.2090
7.68	-22.6531	-22.5707	1.2090
7.72	-22.6397	-22.5573	1.2090
7.76	-22.6258	-22.5434	1.2090
7.80	-22.6111	-22.5287	1.2090
7.84	-22.5964	-22.5140	1.2090
7.88	-22.5816	-22.4992	1.2090
7.92	-22.5668	-22.4844	1.2090
7.96	-22.5519	-22.4695	1.2090
8.00	-22.5367	-22.4543	1.2090
8.04	-22.5216	-22.4392	1.2090
8.08	-22.5062	-22.4237	1.2091
8.12	-22.4912	-22.4087	1.2091
8.16	-22.4753	-22.3928	1.2091

!  For low Temp, computes as in DMC
log T	$\log \Lambda_{\rm hd}$	$\log \Lambda_{\rm hd}$	$\log \Lambda_{\rm hd}$	$\log \Lambda_{\rm hd}$
 	fi=10-4	fi=10-3	fi=10-2	fi=10-1
1.00	-31.0377	-30.0377	-29.0377	-28.0377
1.04	-30.7062	-29.7062	-28.7062	-27.7062
1.08	-30.4055	-29.4055	-28.4055	-27.4055
1.12	-30.1331	-29.1331	-28.1331	-27.1331
1.16	-29.8864	-28.8864	-27.8864	-26.8864
1.20	-29.6631	-28.6631	-27.6631	-26.6631
1.24	-29.4614	-28.4614	-27.4614	-26.4614
1.28	-29.2791	-28.2791	-27.2791	-26.2791
1.32	-29.1146	-28.1146	-27.1146	-26.1146
1.36	-28.9662	-27.9662	-26.9662	-25.9662
1.40	-28.8330	-27.8330	-26.8330	-25.8330
1.44	-28.7129	-27.7129	-26.7129	-25.7129
1.48	-28.6052	-27.6052	-26.6052	-25.6052
1.52	-28.5086	-27.5088	-26.5088	-25.5088
1.56	-28.4222	-27.4225	-26.4225	-25.4225
1.60	-28.3447	-27.3454	-26.3455	-25.3455
1.64	-28.2751	-27.2767	-26.2769	-25.2769
1.68	-28.2120	-27.2153	-26.2157	-25.2157
1.72	-28.1541	-27.1605	-26.1611	-25.1612
1.76	-28.0995	-27.1111	-26.1123	-25.1124
1.80	-28.0460	-27.0664	-26.0684	-25.0686
1.84	-27.9914	-27.0251	-26.0286	-25.0290
1.88	-27.9333	-26.9863	-25.9918	-24.9927
1.92	-27.8697	-26.9488	-25.9578	-24.9586
1.96	-27.7989	-26.9119	-25.9248	-24.9263
2.00	-27.7206	-26.8742	-25.8931	-24.8948
2.04	-27.6353	-26.8353	-25.8614	-24.8642
2.08	-27.5447	-26.7948	-25.8300	-24.8336
2.12	-27.4506	-26.7523	-25.7983	-24.8030
2.16	-27.3551	-26.7080	-25.7660	-24.7724
2.20	-27.2597	-26.6619	-25.7338	-24.7416
2.24	-27.1661	-26.6146	-25.7011	-24.7109
2.28	-27.0751	-26.5666	-25.6690	-24.6807
2.32	-26.9876	-26.5183	-25.6370	-24.6509
2.36	-26.9041	-26.4702	-25.6057	-24.6220
2.40	-26.8245	-26.4229	-25.5754	-24.5941
2.44	-26.7496	-26.3765	-25.5464	-24.5677
2.48	-26.6788	-26.3317	-25.5186	-24.5426
2.52	-26.6124	-26.2886	-25.4923	-24.5190
2.56	-26.5504	-26.2473	-25.4674	-24.4970
2.60	-26.4924	-26.2078	-25.4439	-24.4765
2.64	-26.4383	-26.1704	-25.4219	-24.4574
2.68	-26.3880	-26.1348	-25.4011	-24.4395
2.72	-26.3412	-26.1012	-25.3813	-24.4226
2.76	-26.2978	-26.0692	-25.3623	-24.4063
2.80	-26.2576	-26.0389	-25.3437	-24.3903
2.84	-26.2203	-26.0101	-25.3254	-24.3744
2.88	-26.1859	-25.9825	-25.3071	-24.3582
2.92	-26.1540	-25.9566	-25.2888	-24.3418
2.96	-26.1246	-25.9318	-25.2703	-24.3249
3.00	-26.0975	-25.9083	-25.2517	-24.3076
3.04	-26.0724	-25.8857	-25.2332	-24.2901
3.08	-26.0493	-25.8645	-25.2149	-24.2724
3.12	-26.0281	-25.8447	-25.1969	-24.2549
3.16	-26.0085	-25.8259	-25.1795	-24.2378
3.20	-25.9905	-25.8085	-25.1630	-24.2215
3.24	-25.9743	-25.7926	-25.1474	-24.2061
3.28	-25.9590	-25.7778	-25.1330	-24.1918
3.32	-25.9454	-25.7642	-25.1199	-24.1787
3.36	-25.9326	-25.7520	-25.1081	-24.1672
3.40	-25.9212	-25.7409	-25.0977	-24.1570
3.44	-25.9104	-25.7310	-25.0887	-24.1482
3.48	-25.9010	-25.7222	-25.0809	-24.1407
3.52	-25.8925	-25.7142	-25.0742	-24.1342
3.56	-25.8844	-25.7071	-25.0683	-24.1287
3.60	-25.8771	-25.7005	-25.0627	-24.1234
3.64	-25.8703	-25.6942	-25.0570	-24.1178
3.68	-25.8642	-25.6878	-25.0505	-24.1112
3.72	-25.8586	-25.6811	-25.0422	-24.1025
3.76	-25.8529	-25.6733	-25.0312	-24.0907
3.80	-25.8474	-25.6641	-25.0161	-24.0741
3.84	-25.8422	-25.6525	-24.9957	-24.0514
3.88	-25.8356	-25.6325	-24.9570	-24.0081
3.92	-25.8286	-25.6080	-24.9104	-23.9566
3.96	-25.8133	-25.5367	-24.7799	-23.8139
4.00	-25.7997	-25.4806	-24.6878	-23.7151
